sequence,fluorescence
DODAa1,25.72640577
DODAa1,29.65277339
DODAa1,30.01288183
DODAa1,34.01406654
DODAa2,1.180777916
DODAa2,1.251591101
DODAa2,1.056411493
DODAa2,1.231041492
DODAa2-mut3,1.272846289
DODAa2-mut3,1.024846393
DODAa2-mut3,1.350201197
DODAa2-mut3,1.260662203
