strain,sequence,fluorescence
yDV01,DODAa1,12609.99083
yDV01,DODAa1,13241.11212
yDV01,DODAa1,11282.57517
yDV01,DODAa1,13902.1121
yDV02,DODAa2,925.2153485
yDV02,DODAa2,937.5467464
yDV02,DODAa2,1155.547498
yDV02,DODAa2,1076.779026
yDV03,DODAa2-mut3,1118.938962
yDV03,DODAa2-mut3,1050.568522
yDV03,DODAa2-mut3,891.3043478
yDV03,DODAa2-mut3,1049.231645
yDV04,pVV214,505.1813472
yDV04,pVV214,121.761658
yDV04,pVV214,579.8122066
yDV04,pVV214,580.4020101
