sequence,fluorescence
DODAa1,30.2819687
DODAa1,37.45248371
DODAa1,33.44050007
DODAa1,33.91275129
DODAa2-MN,1.181455787
DODAa2-MN,1.101971856
DODAa2-MN,1.158605174
DODAa2-MN,1.388830555
DODAa2-MN-mut3,0.941855677
DODAa2-MN-mut3,1.157686765
DODAa2-MN-mut3,0.9512761
DODAa2-MN-mut3,1.369779225
